2026-04-18 11:28:59.381 | torri.gerrit.event_processor   | DEBUG    | _on_enrichment_done :86   | Enrichment done for change=3 has_details=True
2026-04-18 11:28:59.381 | torri.connection.gerrit        | DEBUG    | _updateChange       :364  | Updated change=4 needs=1 needed_by=0
2026-04-18 11:28:59.381 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=patchset-created change=3 branch=master
2026-04-18 11:28:59.382 | torri.gerrit.event_processor   | DEBUG    | _on_enrichment_done :86   | Enrichment done for change=4 has_details=True
2026-04-18 11:28:59.382 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=patchset-created change=4 branch=master
2026-04-18 11:31:01.688 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'submitter': {'email': 'torii@localdomain', 'username': 'torii'}, 'refUpdate': {'oldRev': 'ec7ec68124dc91038b11b40fdbf1ff13cd7f44d2', 'newRev': '8a77c9b550b558f2b6df015323e4beeec2f1b508', 'refName': 'refs/changes/03/3/meta', 'project': 'libraries/common-utils'}, 'type': 'ref-updated', 'eventCreatedOn': 1776501061}
2026-04-18 11:31:01.688 | torri.gerrit.event_processor   | DEBUG    | _build_event        :27   | Building event from payload keys=['submitter', 'refUpdate', 'type', 'eventCreatedOn']
2026-04-18 11:31:01.689 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :64   | Handling event type=ref-updated change= patch= project=libraries/common-utils
2026-04-18 11:31:01.689 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :79   | Event has no change number, dispatching directly
2026-04-18 11:31:01.689 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=ref-updated change= branch=
